Ejecución,Tiempo_s
1,0.07406020000053104
2,0.0007303000020328909
3,0.0005942999996477738
4,0.0005750999989686534
5,0.0005526999993890058
6,0.0005476000005728565
7,0.0005616999987978488
8,0.0005724999973608647
9,0.0005273999995552003
10,0.000654199997370597
11,0.0006064999979571439
12,0.0005653999978676438
13,0.000580299998546252
14,0.0005754999983764719
15,0.0005511000017577317
16,0.0005774000019300729
17,0.0005350999999791384
18,0.0005733000034524594
19,0.0005368000020098407
20,0.000607900001341477
21,0.0005994000021019019
22,0.0005259000026853755
23,0.0005319999982020818
24,0.000525200000993209
25,0.0006489000006695278
26,0.0005275999974401202
27,0.0005323000004864298
28,0.0005256000004010275
29,0.0005210000017541461
30,0.0005148999989614822
31,0.0005740999986301176
32,0.0005178999999770895
33,0.0004969000001437962
34,0.0004942999985360075
35,0.0004920999999740161
36,0.0004990000015823171
37,0.0004963999999745283
38,0.0004894999983662274
39,0.0004948999994667247
40,0.0005133999984536786
41,0.0004934999997203704
42,0.0004826000003959052
43,0.0006319000021903776
44,0.0005984000017633662
45,0.0005369999998947605
46,0.0005404000003181864
47,0.0005447000003186986
48,0.000530999997863546
49,0.0005175999976927415
50,0.0005060000003140885
51,0.0004955000003974419
52,0.0005234000018390361
53,0.0005060000003140885
54,0.0005157999985385686
55,0.0005263999992166646
56,0.0005278000026009977
57,0.0005099000009067822
58,0.0005668999983754475
59,0.0005486000009113923
60,0.0005203000000619795
61,0.0005358000016713049
62,0.0004933999989589211
63,0.0005067000020062551
64,0.0005178999999770895
65,0.0005348000013327692
66,0.0005372000014176592
67,0.0005309000007400755
68,0.0005194000004848931
69,0.0005106999997224193
70,0.0005279999968479387
71,0.000514600000315113
72,0.0004853999998886138
73,0.0006518999980471563
74,0.0007117999994079582
75,0.0005518999969353899
76,0.0006070999988878611
77,0.0005601000011665747
78,0.0006777000016882084
79,0.0005651000028592534
80,0.0006393000003299676
81,0.0007157000000006519
82,0.000685800001519965
83,0.0005595000002358574
84,0.000505299998621922
85,0.0005058999995526392
86,0.0005004000013286714
87,0.0005266999978630338
88,0.0006362999993143603
89,0.0005401999987952877
90,0.0004977999997208826
91,0.0005378000023483764
92,0.0005171999982849229
93,0.0005065000004833564
94,0.0004859000000578817
95,0.0005108999976073392
96,0.0004912999975204002
97,0.0005074000000604428
98,0.0005242000006546732
99,0.00068710000050487
100,0.0005549999987124465
101,0.0007002999991527759
102,0.0005793999989691656
103,0.0005333999979484361
104,0.0005277999989630189
105,0.0004845000003115274
106,0.0005148000018380117
107,0.0004969000001437962
108,0.0005314000009093434
109,0.0005152999983693007
110,0.0006537000008393079
111,0.0005301999990479089
112,0.0005710000004910398
113,0.0005343000011635013
114,0.0005079000002297107
115,0.0005251000002317596
116,0.0005175000005692709
117,0.0006350999974529259
118,0.00043739999819081277
119,0.0004833999992115423
120,0.0005880000026081689
121,0.0004589000018313527
122,0.000406000002840301
123,0.00041789999886532314
124,0.00039739999920129776
125,0.0004073999989486765
126,0.00040830000216374174
127,0.0003859999997075647
128,0.00040269999954034574
129,0.00038669999776175246
130,0.00040109999827109277
131,0.00040609999996377155
132,0.00040520000038668513
133,0.00044720000005327165
134,0.0005601999982900452
135,0.0006427000007533934
136,0.0005536999997275416
137,0.0005755999991379213
138,0.0006505999990622513
139,0.0005850000015925616
140,0.0005837999997311272
141,0.0005001999998057727
142,0.0005032000008213799
143,0.0004245999989507254
144,0.0004392000009829644
145,0.0004216999986965675
146,0.0005252999981166795
147,0.00040050000097835436
148,0.00046350000047823414
149,0.0004015000013168901
150,0.0004805000025953632
151,0.00039789999937056564
152,0.00046300000030896626
153,0.00040810000064084306
154,0.0004130000015720725
155,0.00042630000098142773
156,0.0003853999987768475
157,0.0004180000032647513
158,0.0004168999985267874
159,0.00046039999870117754
160,0.0005314999980328139
161,0.00040360000275541097
162,0.00040269999954034574
163,0.0003828999979305081
164,0.00046320000183186494
165,0.0004009000003861729
166,0.0005101999995531514
167,0.0004840000001422595
168,0.00041169999894918874
169,0.0004050999996252358
170,0.0003811999995377846
171,0.00040699999954085797
172,0.0004245000018272549
173,0.0005774999990535434
174,0.0004544000003079418
175,0.00046070000098552555
176,0.0003867999985232018
177,0.00041820000114967115
178,0.00039539999852422625
179,0.00037149999843677506
180,0.0003842999976768624
181,0.0003644999997050036
182,0.00036130000080447644
183,0.00045560000216937624
184,0.0003890999978466425
185,0.0004090000002179295
186,0.0004068000016559381
187,0.0004450999986147508
188,0.00043420000292826444
189,0.00039459999970858917
190,0.0004919999992125668
191,0.00038389999826904386
192,0.0003919000009773299
193,0.000398000000132015
194,0.00037480000173673034
195,0.00038520000089192763
196,0.0003691000019898638
197,0.00043760000335169025
198,0.00043170000208192505
199,0.0004351999996288214
200,0.00039739999920129776
